68,69,59,60,56,50,48,46,45,44,1,29,28,26,28,30,29,30,29,30
76,67,70,58,58,50,50,46,46,46,1,30,30,30,29,31,31,31,27,31
77,68,68,58,58,50,50,48,44,46,1,30,30,30,30,32,29,29,29,35
84,74,70,66,56,48,50,46,44,46,1,32,30,30,30,28,30,29,34,31
85,82,74,70,56,50,50,48,44,44,1,30,31,32,28,28,30,26,25,27
86,84,80,72,66,52,50,46,48,42,1,31,31,30,29,30,27,25,25,30
86,84,82,78,70,52,48,46,44,44,1,32,30,30,26,26,26,26,29,33
84,80,80,80,73,60,50,44,42,42,1,28,26,26,26,26,30,34,34,34
82,80,80,80,76,62,52,44,41,41,1,26,26,26,28,30,34,36,40,42
80,80,78,76,78,66,56,44,42,44,1,26,26,28,30,34,36,36,38,42
77,73,73,73,67,57,47,35,27,27,1,13,15,15,23,21,27,27,31,30
80,80,77,76,78,66,56,44,42,44,1,26,26,28,30,34,36,36,38,42
82,80,80,80,76,62,52,44,42,42,1,26,26,26,28,30,34,36,40,42
84,80,80,80,74,60,50,44,42,42,1,28,26,26,26,26,30,34,34,34
86,84,82,78,70,52,48,46,44,44,1,32,30,30,26,26,26,26,30,34
86,84,80,72,66,52,50,46,48,44,1,32,32,30,30,31,28,26,26,31
86,82,74,70,56,50,50,48,44,44,1,30,32,32,30,30,30,28,27,28
84,76,70,66,56,48,50,46,44,48,1,33,30,32,31,28,30,31,34,32
80,70,68,58,58,50,50,48,44,48,1,32,30,30,30,32,30,30,31,36
78,68,69,58,58,50,50,46,46,48,1,34,32,30,30,32,32,32,30,34
